label,HK1_drl,HK2_drl,HK3_drl,HK4_drl,HK5_drl,HK6_drl,HK7_drl,HK8_drl,HK9_drl,HK10_drl,HK11_drl,HK12_drl,HK1_dtbhk,HK2_dtbhk,HK3_dtbhk,HK4_dtbhk,HK5_dtbhk,HK6_dtbhk,HK7_dtbhk,HK8_dtbhk,HK9_dtbhk,HK10_dtbhk,HK11_dtbhk,HK12_dtbhk,HK1_sotchk,HK2_sotchk,HK3_sotchk,HK4_sotchk,HK5_sotchk,HK6_sotchk,HK7_sotchk,HK8_sotchk,HK9_sotchk,HK10_sotchk,HK11_sotchk,HK12_sotchk,pass_avsc,CCHV_1,CCHV_2,CCHV_3,CCHV_4,CCHV_5,CCHV_6
1,72.0,62.0,84.0,67.0,59.0,40.0,75.0,,,,,,2.62,3.54,6.115,3.43,6.795,4.6,3.51,,,,,,17.0,19.0,13.5,24.0,13.5,20.0,17.0,,,,,,,,,,,,
0,82.0,83.0,77.0,100.0,99.0,83.0,74.0,73.0,,70.0,55.0,,6.5,6.95,7.625,7.89,7.46,7.9,7.6,7.77,,,,,22.0,19.0,14.0,18.0,18.0,15.0,15.0,11.0,,,,,,,,,,,
0,98.0,96.0,97.0,77.0,82.0,85.0,71.0,,,,,,7.93,7.69,7.15,7.18,8.02,7.31,7.71,,,,,,22.0,24.0,23.0,17.0,20.0,19.0,15.0,,,,,,,,,,,,
0,61.0,83.0,80.0,89.0,80.0,75.0,81.0,77.0,,,,,6.36,6.33,7.36,5.95,6.74,6.71,6.19,6.93,,,,,17.0,20.0,12.5,22.0,10.0,15.0,17.0,15.0,,,,,True,,,,,,
1,51.0,35.0,1.0,25.0,0.0,,,,,,,,4.04,2.02,4.645,1.07,0.425,,,,,,,,13.0,23.0,11.5,21.0,9.5,,,,,,,,,,,,,,
1,82.0,40.0,64.0,60.0,80.0,80.0,81.0,80.0,,58.0,45.0,,6.36,5.48,6.9,6.08,7.050000000000001,7.4,6.82,6.43,,,,,17.0,19.0,22.0,22.0,15.5,16.0,20.0,12.0,,,,,,Được xem xét hạ mức,,,,,
0,73.0,55.0,54.0,51.0,76.0,75.0,81.0,74.0,,,,,6.95,3.63,5.9,4.47,5.52,6.28,4.365,5.81,,,,,17.0,21.0,22.0,23.0,14.0,22.0,14.0,14.0,,,,,,,,,,,
0,97.0,100.0,100.0,100.0,100.0,90.0,83.0,75.0,,,,,7.57,6.84,7.9,8.09,8.14,8.02,8.72,8.32,,,,,22.0,19.0,20.0,21.0,16.0,19.0,15.0,11.0,,,,,,,,,,,
0,95.0,93.0,85.0,85.0,74.0,80.0,80.0,62.0,,,,,7.25,8.43,7.76,8.48,8.11,8.46,8.370000000000001,8.22,,,,,22.0,21.0,22.0,21.0,13.0,14.0,9.0,19.0,,,,,,,,,,,
0,82.0,80.0,72.0,77.0,81.0,84.0,90.0,80.0,,,,,7.6,7.41,7.53,8.06,8.83,8.2,8.32,9.0,,,,,24.0,21.0,24.0,16.0,16.0,15.0,18.0,2.0,,,,,,,,,,,
1,89.0,87.0,100.0,97.0,100.0,82.0,88.0,,71.0,70.0,55.0,65.0,5.02,4.67,2.95,6.68,7.515000000000001,7.16,7.02,,,,,,22.0,15.0,14.5,24.0,15.5,27.0,24.0,,,,,,,,,,,,
0,100.0,75.0,64.0,84.0,90.0,90.0,76.0,75.0,,,,,7.96,8.08,9.02,8.13,8.51,8.56,7.65,7.82,,,,,17.0,18.0,21.0,20.0,15.0,18.0,17.0,15.0,,,,,,,,,,,
0,72.0,77.0,80.0,80.0,75.0,75.0,83.0,83.0,,,,,5.07,5.82,5.904999999999999,6.8,6.84,7.78,7.94,7.72,,,,,19.0,21.0,13.0,20.0,10.5,19.0,20.0,13.0,,,,,True,,,,,,
0,84.0,72.0,82.0,63.0,78.0,66.0,64.0,80.0,,,,,6.52,6.74,6.5,6.61,7.42,6.93,7.43,7.94,,,,,22.0,21.0,22.0,17.0,21.0,16.0,15.0,17.0,,,,,,,,,,,
0,86.0,97.0,98.0,95.0,84.0,93.0,90.0,85.0,,,,,9.38,8.79,9.01,9.13,9.3,9.02,9.06,8.3,,,,,17.0,24.0,24.0,15.0,20.0,18.0,17.0,4.0,,,,,,,,,,,
0,74.0,65.0,65.0,50.0,56.0,54.0,76.0,70.0,65.0,70.0,,,5.26,3.4,2.62,6.94,6.93,5.78,6.72,3.53,5.28,1.38,,,17.0,19.0,17.0,18.0,26.0,26.0,24.0,24.0,24.0,16.0,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,
0,93.0,78.0,66.0,81.0,85.0,85.0,86.0,90.0,,,,,9.39,9.43,8.75,9.01,8.26,8.28,8.72,8.64,,,,,17.0,21.0,20.0,21.0,14.0,22.0,17.0,11.0,,,,,,,,,,,
0,32.0,69.0,43.0,35.0,67.0,78.0,80.0,85.0,70.0,50.0,,,4.82,3.89,5.57,4.98,4.715,5.91,6.59,6.91,6.93,3.6,,,19.0,19.0,21.0,17.0,13.0,22.0,14.0,20.0,9.0,4.0,,,,,,,,,
0,89.0,89.0,86.0,85.0,84.0,82.0,68.0,,,,,,7.0,7.79,7.7,7.64,7.85,8.76,7.4350000000000005,,,,,,22.0,21.0,22.0,15.0,18.0,14.0,10.5,,,,,,,,,,,,
0,77.0,65.0,64.0,80.0,80.0,85.0,96.0,90.0,,,,,9.62,7.57,8.51,7.56,8.31,8.73,9.1,9.15,,,,,13.0,20.0,25.0,25.0,14.0,19.0,17.0,6.0,,,,,,,,,,,
0,92.0,91.0,76.0,83.0,85.0,75.0,76.0,75.0,,,,,8.57,7.27,8.16,7.56,7.77,7.77,8.56,8.25,,,,,17.0,21.0,23.0,19.0,17.0,16.0,15.0,18.0,,,,,,,,,,,
1,76.0,72.0,42.0,28.0,,,,,,,,,5.44,5.77,4.09,3.23,,,,,,,,,9.0,17.0,13.0,11.0,,,,,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,64.0,71.0,86.0,71.0,22.0,49.0,80.0,74.0,,70.0,50.0,,6.5,6.11,7.09,7.06,5.83,6.16,6.65,5.17,,,,,17.0,24.0,23.0,24.0,20.0,17.0,14.0,15.0,,,,,,Bị cảnh cáo vì ĐTB học kỳ,Được xem xét hạ mức,,,,
0,95.0,86.0,87.0,90.0,90.0,90.0,86.0,,,,,,8.63,8.11,7.91,8.04,8.45,7.15,8.01,,,,,,19.0,19.0,26.0,20.0,16.0,16.0,22.0,,,,,,,,,,,,
0,72.0,81.0,84.0,75.0,62.0,75.0,80.0,80.0,,,,,7.12,5.97,7.295,7.0,7.555,8.31,8.32,8.66,,,,,13.0,22.0,14.0,21.0,9.5,15.0,17.0,5.0,,,,,,,,,,,
0,81.0,76.0,78.0,74.0,78.0,80.0,72.0,80.0,,,,,7.32,7.3,8.06,8.81,7.86,8.26,8.73,9.11,,,,,22.0,22.0,25.0,15.0,18.0,15.0,15.0,14.0,,,,,,,,,,,
0,100.0,100.0,100.0,93.0,90.0,72.0,56.0,69.0,,,,,6.66,6.35,8.129999999999999,7.1,8.71,7.33,8.1,8.43,,,,,19.0,10.0,12.0,17.0,10.0,20.0,7.0,13.0,,,,,,,,,,,
0,73.0,80.0,81.0,78.0,64.0,69.0,80.0,85.0,65.0,75.0,,,5.15,4.22,5.6,4.09,2.98,5.84,5.475,6.68,7.39,7.48,,,17.0,20.0,24.0,17.0,13.0,19.0,10.5,23.0,20.0,16.0,,,,,,,,,
0,81.0,90.0,81.0,80.0,85.0,59.0,67.0,70.0,,70.0,,,6.47,7.09,8.07,7.62,7.92,7.13,7.0,7.84,,,,,18.0,22.0,23.0,18.0,15.0,16.0,16.0,8.0,,,,,,,,,,,
1,72.0,65.0,81.0,70.0,50.0,20.0,48.0,63.0,60.0,70.0,,,7.29,6.37,7.1,6.31,2.07,2.52,5.08,3.09,3.22,0.74,,,17.0,21.0,20.0,21.0,23.0,20.0,16.0,15.0,20.0,20.0,,,,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB 2 học kỳ liên tiếp < 4,,,
0,75.0,95.0,85.0,80.0,76.0,90.0,74.0,91.0,,,,,7.85,6.49,7.36,7.34,6.39,7.64,7.34,8.38,,,,,17.0,19.0,18.0,20.0,16.0,17.0,14.0,16.0,,,,,True,,,,,,
1,70.0,55.0,59.0,60.0,75.0,70.0,60.0,55.0,50.0,50.0,,,3.48,1.52,5.51,3.14,4.625,3.26,4.995,4.79,3.6,3.45,,,13.0,15.0,13.0,20.0,16.0,17.0,13.5,14.0,10.5,18.0,,,,,,,,,
0,74.0,90.0,80.0,70.0,66.0,88.0,80.0,,,,,,7.13,6.48,7.3,7.38,7.65,7.57,8.120000000000001,,,,,,24.0,23.0,23.0,19.0,17.0,20.0,9.0,,,,,,,,,,,,
0,76.0,83.0,90.0,95.0,90.0,85.0,100.0,,73.0,,,,6.87,7.82,8.45,8.2,8.49,8.68,8.15,,,,,,17.0,19.0,24.0,23.0,17.0,19.0,17.0,,,,,,True,,,,,,
1,70.0,78.0,79.0,26.0,60.0,48.0,59.0,50.0,60.0,,,,6.08,7.29,7.27,6.35,5.85,3.92,5.6,4.63,4.5,,,,13.0,18.0,25.0,21.0,22.0,21.0,14.0,16.0,6.0,,,,,,,,,,
0,89.0,90.0,92.0,100.0,100.0,80.0,81.0,79.0,,,,,8.68,7.66,6.65,7.13,6.93,5.43,7.31,5.14,,,,,19.0,24.0,22.0,16.0,15.0,16.0,13.0,15.0,,,,,,,,,,,
0,71.0,76.0,80.0,90.0,80.0,85.0,100.0,,,,,,7.24,6.66,7.9,6.91,7.62,8.33,8.27,,,,,,19.0,21.0,20.0,24.0,20.0,19.0,15.0,,,,,,True,,,,,,
1,83.0,93.0,88.0,,45.0,,,,,,,,6.15,7.88,6.19,,,,,,,,,,17.0,22.0,19.0,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,80.0,81.0,79.0,72.0,64.0,80.0,76.0,75.0,,75.0,,,6.34,6.65,5.72,7.69,9.05,8.15,7.78,7.5,,,,,19.0,13.0,16.0,19.0,11.5,15.0,13.0,9.0,,,,,,,,,,,
0,79.0,83.0,76.0,77.0,71.0,95.0,90.0,75.0,,,,,6.96,7.48,7.87,7.25,7.91,7.85,7.61,9.0,,,,,24.0,24.0,21.0,16.0,16.0,15.0,18.0,2.0,,,,,,,,,,,
1,71.0,60.0,3.0,4.0,-10.0,-1.0,,25.0,,,,,6.03,0.0,2.46,4.55,4.31,1.97,,,,,,,18.0,19.0,13.0,16.0,21.0,15.0,,,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,91.0,100.0,100.0,90.0,81.0,89.0,100.0,,,,,,7.79,7.73,8.25,8.34,8.95,8.53,8.1,,,,,,17.0,23.0,24.0,17.0,19.0,16.0,19.0,,,,,,,,,,,,
0,80.0,87.0,71.0,67.0,77.0,75.0,78.0,83.0,65.0,70.0,,50.0,5.12,6.85,4.655,6.69,8.165,5.79,5.86,5.41,4.715,1.75,,,17.0,25.0,14.0,26.0,9.5,21.0,19.0,16.0,13.0,8.0,,,,,,,,,
0,100.0,100.0,90.0,85.0,98.0,83.0,,,,,,,6.91,6.56,6.56,6.83,7.68,7.23,,,,,,,15.0,18.0,22.0,24.0,24.0,21.0,,,,,,,True,,,,,,
1,59.0,57.0,90.0,67.0,83.0,71.0,66.0,78.0,,70.0,60.0,70.0,3.91,2.53,4.949999999999999,4.84,6.395,4.02,6.58,7.22,,,,,22.0,19.0,18.0,24.0,16.5,20.0,14.5,23.0,,,,,,,,,,,
1,73.0,49.0,,,,,,,,,,,3.83,0.69,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,
0,78.0,78.0,78.0,82.0,89.0,86.0,72.0,68.0,,,,,6.05,6.2,6.115,7.62,7.91,7.36,6.390000000000001,7.4,,,,,22.0,22.0,14.5,20.0,15.0,20.0,9.0,5.0,,,,,,,,,,,
0,77.0,72.0,83.0,79.0,64.0,78.0,76.0,85.0,,75.0,50.0,,7.09,7.3,8.09,6.99,7.46,7.82,7.69,8.43,,,,,17.0,20.0,20.0,27.0,20.0,23.0,21.0,14.0,,,,,,,,,,,
0,95.0,100.0,93.0,88.0,90.0,85.0,81.0,85.0,,,,,8.15,7.78,8.1,8.11,6.38,6.55,7.15,7.91,,,,,17.0,24.0,22.0,14.0,17.0,19.0,18.0,19.0,,,,,,,,,,,
0,73.0,71.0,76.0,66.0,62.0,57.0,85.0,75.0,,70.0,50.0,,5.32,4.32,6.380000000000001,6.76,7.0,7.45,5.865,7.53,,,,,17.0,19.0,11.5,19.0,10.0,23.0,9.5,14.0,,,,,,,,,,,
1,64.0,72.0,48.0,47.0,20.0,39.0,63.0,39.0,58.0,70.0,,,6.21,7.42,2.595,5.46,6.57,5.43,2.2,4.61,2.89,4.2,,,17.0,20.0,14.5,14.0,19.0,14.0,21.0,7.0,7.0,4.0,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,73.0,41.0,60.0,60.0,,,,,,,,,7.01,6.64,4.55,6.59,,,,,,,,,15.0,19.0,19.0,15.0,,,,,,,,,,,,,,,
1,100.0,100.0,91.0,82.0,21.0,47.0,0.0,,,,,,4.41,4.25,3.915,3.84,2.09,0.69,0.22,,,,,,22.0,16.0,18.0,15.0,13.5,15.0,18.0,,,,,,,,,,,,
1,76.0,75.0,,,,,,,,,,,7.49,8.59,,,,,,,,,,,20.0,22.0,,,,,,,,,,,True,,,,,,
1,58.0,75.0,78.0,73.0,64.0,71.0,71.0,70.0,60.0,70.0,61.0,,6.85,5.39,7.37,6.51,6.4399999999999995,6.38,3.72,3.18,1.735,4.73,6.78,,13.0,20.0,24.0,18.0,12.0,24.0,27.0,17.0,10.0,11.0,17.0,,,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,,,,
0,89.0,100.0,90.0,90.0,90.0,80.0,79.0,,78.0,,,,7.16,7.45,7.324999999999999,6.62,7.1,7.63,7.08,,,,,,17.0,17.0,14.0,18.0,20.0,17.0,12.0,,,,,,True,,,,,,
0,94.0,81.0,64.0,86.0,80.0,75.0,76.0,80.0,,,,,8.29,7.4,8.5,8.21,6.83,7.38,7.33,7.12,,,,,17.0,21.0,21.0,20.0,14.0,19.0,20.0,14.0,,,,,,,,,,,
1,80.0,94.0,89.0,75.0,86.0,67.0,66.0,,63.0,58.0,55.0,65.0,5.02,6.56,5.49,5.31,6.455,6.86,7.5,,,,,,22.0,18.0,17.0,19.0,13.5,19.0,19.0,,,,,,,,,,,,
1,57.0,57.0,,,,,,,,,,,1.6,0.09,,,,,,,,,,,18.0,18.0,,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,86.0,67.0,93.0,73.0,66.0,76.0,76.0,75.0,,75.0,50.0,50.0,6.91,5.46,7.32,6.7,7.35,6.25,7.28,8.3,,,,,17.0,20.0,25.0,26.0,21.0,22.0,17.0,7.0,,,,,,,,,,,
0,54.0,81.0,76.0,85.0,76.0,85.0,74.0,78.0,,,,,6.52,5.51,7.98,7.29,7.1,7.5,7.97,8.6,,,,,19.0,17.0,24.0,24.0,24.0,19.0,21.0,7.0,,,,,True,,,,,,
0,97.0,71.0,89.0,85.0,79.0,81.0,80.0,,,,,,6.71,6.98,7.3,8.1,8.78,8.66,8.91,,,,,,24.0,21.0,20.0,15.0,16.0,20.0,15.0,,,,,,,,,,,,
0,85.0,39.0,58.0,51.0,73.0,80.0,78.0,73.0,,,,,7.31,6.33,6.74,6.92,7.0600000000000005,6.78,7.52,7.9,,,,,19.0,17.0,19.0,15.0,8.5,22.0,22.0,18.0,,,,,,Bị cảnh cáo vì đóng học phí trễ,,,,,
0,95.0,88.0,83.0,80.0,100.0,100.0,81.0,,73.0,58.0,53.0,,8.06,7.55,8.66,8.29,8.34,8.42,8.74,,,,,,17.0,21.0,19.0,18.0,20.0,17.0,19.0,,,,,,,,,,,,
0,73.0,69.0,65.0,59.0,36.0,39.0,64.0,59.0,81.0,79.0,74.0,,4.92,3.85,4.779999999999999,4.32,2.94,5.0,6.86,5.17,7.26,5.47,5.55,,18.0,20.0,14.0,21.0,19.0,25.0,18.0,22.0,14.0,15.0,13.0,,,,,,,,
0,62.0,68.0,55.0,57.0,79.0,75.0,60.0,73.0,,,,,5.11,2.86,6.17,5.03,7.715,7.28,6.76,7.26,,,,,22.0,22.0,18.0,18.0,15.0,22.0,23.0,14.0,,,,,,,,,,,
1,61.0,53.0,,,,,,,,,,,5.44,5.11,,,,,,,,,,,15.0,15.0,,,,,,,,,,,,,,,,,
0,95.0,77.0,68.0,85.0,76.0,85.0,76.0,80.0,,,,,8.9,8.59,8.73,8.19,8.72,8.04,8.32,8.14,,,,,17.0,24.0,26.0,14.0,16.0,19.0,17.0,5.0,,,,,,,,,,,
0,77.0,84.0,84.0,84.0,93.0,77.0,62.0,68.0,,70.0,55.0,65.0,6.02,6.08,6.63,7.31,6.93,6.74,7.02,6.25,,,,,22.0,19.0,24.0,19.0,12.0,19.0,9.0,12.0,,,,,,,,,,,
0,65.0,62.0,62.0,70.0,95.0,75.0,76.0,,47.0,50.0,,,7.86,6.27,7.05,8.4,6.99,7.36,8.22,,,,,,17.0,20.0,26.0,21.0,11.5,22.0,6.5,,,,,,,Bị cảnh cáo vì đóng học phí trễ,,,,,
1,59.0,67.0,72.0,55.0,80.0,54.0,66.0,,71.0,65.0,55.0,65.0,4.89,5.03,6.24,4.42,3.605,6.25,6.859999999999999,,,,,,18.0,18.0,16.0,21.0,13.0,23.0,13.5,,,,,,,,,,,,
0,63.0,53.0,33.0,33.0,58.0,57.0,76.0,80.0,,70.0,50.0,50.0,4.85,5.4,5.55,5.35,6.71,7.04,6.04,7.65,,,,,17.0,21.0,22.0,22.0,17.5,21.0,24.0,17.0,,,,,,Bị cảnh cáo vì đóng học phí trễ,,,,,
0,86.0,80.0,89.0,94.0,90.0,88.0,82.0,93.0,,,,,8.16,8.93,8.33,9.04,8.39,8.39,8.47,8.59,,,,,22.0,22.0,23.0,17.0,18.0,15.0,15.0,14.0,,,,,,,,,,,
0,83.0,71.0,79.0,76.0,87.0,72.0,66.0,,,,,,6.55,4.84,7.045,6.59,7.69,7.88,7.33,,,,,,22.0,22.0,15.0,24.0,17.0,27.0,16.0,,,,,,,,,,,,
0,82.0,70.0,69.0,90.0,82.0,73.0,68.0,75.0,,63.0,,,6.89,6.74,6.92,8.54,7.205,8.25,8.22,8.59,,,,,22.0,19.0,17.0,19.0,11.0,15.0,15.0,11.0,,,,,,,,,,,
1,84.0,57.0,15.0,,,,,,,,,,6.63,2.9,5.85,,,,,,,,,,19.0,16.0,26.0,,,,,,,,,,,,,,,,
1,89.0,55.0,79.0,,,,,,,,,,5.32,2.29,2.62,,,,,,,,,,21.0,18.0,24.0,,,,,,,,,,True,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,95.0,83.0,74.0,93.0,90.0,85.0,86.0,,65.0,,,,8.17,7.54,7.67,8.09,9.04,9.25,7.865,,,,,,19.0,21.0,24.0,17.0,17.0,19.0,10.5,,,,,,,,,,,,
0,59.0,78.0,76.0,64.0,62.0,75.0,76.0,75.0,,70.0,,,6.15,6.8,6.35,7.37,7.58,5.49,8.04,6.6,,,,,17.0,22.0,22.0,21.0,16.0,17.0,9.0,15.0,,,,,,,,,,,
1,78.0,70.0,71.0,52.0,,,,,,,,,6.98,6.34,6.68,2.43,,,,,,,,,24.0,19.0,20.0,15.0,,,,,,,,,,,,,,,
0,70.0,64.0,86.0,67.0,64.0,75.0,80.0,85.0,65.0,,,,7.35,6.12,6.89,7.05,6.89,7.6,8.33,7.49,8.3,,,,13.0,24.0,15.0,23.0,22.0,18.0,11.0,16.0,10.0,,,,,,,,,,
0,85.0,90.0,90.0,90.0,81.0,85.0,100.0,,,,,,8.07,7.1,8.29,7.63,7.16,8.48,8.29,,,,,,19.0,21.0,20.0,24.0,20.0,16.0,15.0,,,,,,True,,,,,,
0,78.0,72.0,80.0,75.0,64.0,73.0,76.0,75.0,,70.0,,,6.5,6.61,7.05,7.1,7.68,7.24,7.85,7.18,,,,,13.0,19.0,24.0,25.0,16.0,19.0,16.0,13.0,,,,,,,,,,,
0,76.0,93.0,95.0,85.0,86.0,85.0,88.0,,78.0,,,,7.98,7.18,8.56,7.93,7.95,7.9,7.29,,,,,,17.0,19.0,23.0,20.0,19.0,15.0,17.0,,,,,,True,,,,,,
1,77.0,86.0,78.0,78.0,65.0,70.0,56.0,56.0,75.0,70.0,65.0,,6.41,7.36,8.225,7.32,5.72,7.25,4.08,8.6,2.845,4.49,6.5,,22.0,22.0,16.0,17.0,10.0,15.0,17.0,10.0,12.0,10.0,3.0,,,,,,,,
0,77.0,82.0,66.0,75.0,81.0,80.0,76.0,75.0,,,,,7.57,5.98,7.94,7.51,7.945,7.47,7.62,8.45,,,,,19.0,20.0,18.0,17.0,10.5,19.0,21.0,13.0,,,,,,,,,,,
0,83.0,92.0,100.0,95.0,90.0,76.0,81.0,86.0,,,,,6.36,6.16,7.67,7.33,7.44,7.35,8.96,8.37,,,,,22.0,19.0,27.0,16.0,16.0,16.0,16.0,12.0,,,,,,,,,,,
0,94.0,76.0,52.0,71.0,79.0,85.0,90.0,75.0,58.0,,,,6.98,5.65,7.045,6.31,5.29,5.89,6.51,6.05,7.16,,,,19.0,26.0,13.0,19.0,23.0,23.0,21.0,10.0,14.0,,,,,,,,,,
0,80.0,92.0,92.0,65.0,76.0,85.0,85.0,,60.0,,,,7.06,7.6,7.31,7.11,7.52,6.83,7.9,,,,,,17.0,21.0,29.0,18.0,19.0,17.0,16.0,,,,,,,,,,,,
1,84.0,65.0,84.0,67.0,,,,,,,,,6.76,6.39,7.92,4.41,,,,,,,,,17.0,20.0,25.0,22.0,,,,,,,,,,,,,,,
0,70.0,63.0,91.0,81.0,65.0,67.0,65.0,64.0,63.0,60.0,,,3.53,2.84,4.525,4.82,5.445,4.72,4.41,5.58,6.14,6.61,,,18.0,22.0,15.5,27.0,16.0,29.0,16.0,29.0,13.5,20.0,,,,,,,,,
1,85.0,80.0,81.0,76.0,,,,,,,,,5.64,1.17,1.98,0.0,,,,,,,,,16.0,19.0,16.0,10.0,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,,,,
0,61.0,70.0,67.0,59.0,69.0,64.0,64.0,57.0,67.0,,,,4.95,6.19,5.115,5.28,5.74,4.4,6.46,5.43,5.779999999999999,,,,22.0,18.0,15.0,19.0,13.5,23.0,16.5,15.0,10.5,,,,,,,,,,
1,89.0,87.0,76.0,81.0,65.0,65.0,54.0,46.0,76.0,,,,5.36,4.97,6.24,7.24,6.994999999999999,6.58,6.04,3.84,8.14,,,,22.0,17.0,27.0,25.0,14.5,21.0,20.0,22.0,10.0,,,,,Được xem xét hạ mức,,,,,
1,68.0,76.0,75.0,58.0,79.0,65.0,50.0,34.0,71.0,74.0,60.0,,4.72,1.97,6.76,6.85,7.45,6.03,5.49,5.43,4.95,5.7,0.3,,18.0,19.0,27.0,24.0,22.0,27.0,26.0,23.0,8.0,4.0,4.0,,,,,,,,
1,60.0,52.0,85.0,80.0,89.0,85.0,88.0,,58.0,,,,6.04,3.45,6.31,6.36,5.49,3.62,2.14,,,,,,19.0,21.0,18.0,21.0,21.0,19.0,16.0,,,,,,True,,,,,,
1,82.0,40.0,73.0,75.0,80.0,90.0,90.0,79.0,,58.0,62.0,,5.44,4.26,6.24,5.68,6.52,5.62,6.5,5.55,,,,,13.0,21.0,20.0,24.0,20.0,24.0,15.0,23.0,,,,,,Được xem xét hạ mức,,,,,
0,66.0,79.0,87.0,96.0,90.0,75.0,54.0,,,,,,5.68,5.5,5.77,6.88,7.22,5.58,6.78,,,,,,22.0,22.0,14.5,21.0,20.0,16.0,16.0,,,,,,,,,,,,
0,97.0,84.0,86.0,81.0,89.0,80.0,66.0,75.0,,,,,7.59,7.09,7.625,8.29,7.62,7.88,8.7,8.4,,,,,22.0,22.0,13.0,16.0,18.0,19.0,15.0,8.0,,,,,,,,,,,
0,88.0,88.0,100.0,92.0,90.0,79.0,72.0,85.0,,,,,7.91,8.53,8.46,8.58,5.85,8.73,7.97,8.39,,,,,22.0,19.0,24.0,19.0,15.0,15.0,16.0,18.0,,,,,,,,,,,
1,66.0,59.0,71.0,72.0,71.0,,61.0,,,,,,6.32,4.33,3.46,4.69,3.55,,,,,,,,19.0,21.0,19.0,20.0,15.0,,,,,,,,True,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,83.0,56.0,57.0,53.0,82.0,,,,,,,,6.8,5.98,5.13,5.96,5.71,,,,,,,,19.0,21.0,19.0,20.0,14.0,,,,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,80.0,72.0,86.0,79.0,84.0,80.0,66.0,,63.0,63.0,55.0,,7.59,7.45,7.39,6.85,6.65,7.46,8.57,,,,,,22.0,21.0,23.0,22.0,24.0,26.0,9.0,,,,,,,,,,,,
1,73.0,57.0,,,,,,,,,,,6.73,1.44,,,,,,,,,,,19.0,15.0,,,,,,,,,,,,,,,,,
0,81.0,63.0,64.0,75.0,90.0,90.0,96.0,90.0,,,,,7.22,5.65,8.09,7.46,7.86,7.8,7.529999999999999,7.61,,,,,13.0,21.0,21.0,24.0,10.0,24.0,12.0,14.0,,,,,,,,,,,
1,64.0,68.0,55.0,61.0,19.0,27.0,,20.0,,,,,4.44,2.41,6.25,4.24,5.865,2.58,,,,,,,18.0,17.0,20.0,24.0,12.0,20.0,,,,,,,,Bị cảnh cáo vì ĐTB và trễ học phí,,,,,
0,78.0,62.0,46.0,80.0,74.0,61.0,60.0,53.0,,,,,6.16,5.08,6.445,8.05,7.16,8.12,7.4,8.54,,,,,22.0,19.0,17.5,20.0,11.5,15.0,15.0,8.0,,,,,,,,,,,
0,81.0,67.0,65.0,75.0,76.0,75.0,86.0,,45.0,,,,8.03,7.47,8.19,8.08,7.32,7.51,7.4,,,,,,19.0,21.0,24.0,17.0,24.0,19.0,18.0,,,,,,,,,,,,
1,67.0,71.0,69.0,80.0,59.0,62.0,78.0,78.0,,70.0,50.0,50.0,5.08,5.06,6.3149999999999995,5.31,5.98,6.91,5.390000000000001,6.37,,,,,13.0,20.0,12.5,22.0,14.5,21.0,11.5,18.0,,,,,,,,,,,
0,88.0,84.0,91.0,87.0,89.0,75.0,64.0,,60.0,,,,7.48,7.84,7.55,7.95,7.8,7.88,8.18,,,,,,22.0,19.0,21.0,22.0,26.0,22.0,13.0,,,,,,,,,,,,
0,54.0,67.0,73.0,68.0,68.0,73.0,86.0,,,,,,7.3,6.42,7.63,7.36,7.53,7.95,8.21,,,,,,17.0,19.0,24.0,18.0,19.0,20.0,22.0,,,,,,True,,,,,,
0,77.0,63.0,71.0,38.0,69.0,85.0,76.0,79.0,,,,,7.4,5.82,7.93,7.09,7.81,6.73,7.96,5.99,,,,,19.0,24.0,12.5,17.0,15.0,17.0,16.0,12.0,,,,,,Bị cảnh cáo vì đóng học phí trễ,Được xem xét hạ mức,,,,
0,95.0,100.0,95.0,85.0,100.0,100.0,,,,,,,8.91,8.73,8.82,8.8,8.51,9.01,,,,,,,15.0,21.0,18.0,22.0,23.0,14.0,,,,,,,True,,,,,,
0,61.0,69.0,62.0,67.0,81.0,72.0,69.0,65.0,71.0,75.0,,65.0,4.16,5.13,5.29,6.36,4.825,3.98,5.609999999999999,7.24,3.46,5.5,,,22.0,16.0,16.0,25.0,10.0,19.0,12.0,20.0,20.0,14.0,,,,,,,,,
